Country,C1,C2,C3,C4,C5,C6,C7,C8,C9
Belgium,1.9,16,583.5,5.6,605,54.7,84.25,18.7,13.3
Bulgaria,8.9,8.9,623.4,9,1606,34.6,64.51,15.3,20.2
Czechia,1.9,14,634.4,5.8,892,33.3,82.6,25,7.8
Denmark,2.8,20.1,1053.8,3.4,530,51.5,97.5,17.3,7.5
Germany (until 1990 former territory of the FRG),2.1,26.1,586.7,3.7,676,66.7,95.97,16.7,13.1
Estonia,2.7,8.2,1484.4,3.9,423,30.8,83,20.1,7.4
Ireland,1.1,8.2,972.7,2.8,322,37.4,61.86,18.2,8.8
Greece,6,19.7,710.2,6.4,1001,21,94.2,17,16.9
Spain,1.7,14.1,577.5,3.7,561,38,86.62,15.4,11.6
France,2.3,17.3,845.1,4.8,544,40.5,80.02,16.7,14.7
Croatia,5.9,8.2,722.5,7.3,1064,30.2,36.9,15.8,2.7
Italy,5,11.9,484.3,5.3,843,51.4,59.6,18,9.4
Cyprus,1.3,15.4,939,5.9,595,16.3,82.65,18.5,12.7
Latvia,12.7,13.1,1276.1,6.9,924,41,80.1,17.2,6.1
Lithuania,7.8,13.3,1090.5,6.6,998,49.7,76.55,9.4,3.2
Luxembourg,2,20.2,565.2,3.5,346,48.9,98.1,17.4,11.2
Hungary,7.8,9.7,811.5,6.2,1205,35.9,80.26,27.1,5.3
Malta,1.3,28.3,201.4,3.2,641,9.1,0,18.2,13.6
Netherlands,1.5,26.6,456.9,3.4,551,56.9,99.5,14.4,16.3
Austria,3,19.5,740.1,4.7,606,58.2,99.78,23,8.4
Poland,7.9,12.6,633.7,7.7,1291,34.1,74.44,19.3,4.4
Portugal,4.1,22.7,689.1,6.7,523,28.9,84.64,10.7,6.7
Romania,14.2,18.2,528.4,9.6,1261,11.5,49.4,21.1,9.6
Slovenia,3.9,14.5,625.1,4.9,744,59.2,69.52,13.4,8
Slovakia,3.6,10.5,631.8,5,934,38.5,68.1,26.2,5.6
Finland,0.9,12.8,2447.6,3.8,288,43.5,85,16.1,6.4
Sweden,2.6,17,2223,2.2,258,46.6,96,20.5,13
